nca,vma	
dna,hwa	woa,gxa	sxb,yla	isa,rfa	lba,pwa	
hza,rea	tva,vzb	qrb,irb	yca,meb	dha,ola	
mya,wfb	tqb,meb	yub,rda	wrb,hvb	hua,leb	
vta,hvb	czb,owb	atb,gda	cja,yjb	fba,hvb	
sxa,vjb	iyb,pca	lma,gxa	esb,dka	ava,byb	
xmb,qvb	iib,meb	yja,kyb	yja,aob	qva,npa	
tlb,evb	jua,meb	zva,rwb	hta,dkb	yab,qab	
zxa,rib	koa,rfa	hxb,wfb	pka,hfa	pqa,mhb	
qta,woa	keb,ojb	fob,dvb	cyb,pca	jqb,ora	
vta,meb	qta,meb	oza,rda	sua,meb	mgb,cvb	
kqa,cia	seb,ckb	dwb,tla	yma,uja	ita,bkb	
mpa,hvb	yub,wbb	ita,oxa	qrb,byb	yhb,pca	
lba,pua	nra,pwa	lzb,wfb	xla,hvb	qta,hwa	
kga,zza	ita,bgb	uva,vzb	qhb,uab	vib,meb	
lma,oyb	uga,ucb	jqb,hoa	qha,pca	lya,yxa	
yra,hja	iia,ysb	ora,tka	hpb,ola	rob,scb	
nva,gda	kib,vjb	qrb,hib	nwa,pqa	wyb,hja	
wqb,uab	awa,hvb	yxa,gsa	dvb,meb	yub,ona	
sxb,ihb	hxa,dka	kqa,hvb	zea,pca	bga,iga	
wrb,bbb	akb,zza	zzb,kga	vta,rfa	jnb,uab	
nra,smb	cyb,woa	isa,kpa	nra,qra	kib,zza	
npa,qva	zsa,hvb	wgb,zjb	jra,uab	sya,ssb	
zua,hvb	ubb,hvb	ykb,wra	anb,usa	xob,fya	
nda,vcb	qkb,sga	eza,uab	uga,uab	kxb,rda	
dwb,usa	yub,vdb	qpb,rfa	tab,rea	wgb,meb	
eib,mzb	yob,hxa	byb,rfa	czb,kxb	ora,hoa	
gub,cwa	cyb,aga	woa,jra	uca,xta	hfa,ckb	
zdb,bhb	oea,eaa	twb,vma	jqb,kga	ctb,jra	
kib,jfa	fya,kza	lob,kga	yxb,wia	rlb,bnb	
rwb,hvb	fka,beb	goa,meb	ysb,hma	lfb,jra	
uba,meb	isa,meb	dwb,vma	zfa,xab	xmb,kja	
kob,uxb	wea,eea	tgb,jua	hta,hvb	pab,rea	
xpa,pdb	gaa,zdb	neb,lpb	ita,qob	kqa,jgb	
oza,pca	goa,fya	nra,xca	opa,hvb	npb,hja	
eoa,dka	jra,hvb	cnb,gtb	urb,meb	usa,mrb	
ava,hvb	hba,sga	yia,tcb	tib,wta	vyb,jra	
nza,ota	djb,uab	dcb,vob	mna,pca	pmb,rea	
gvb,hvb	dib,hja	ztb,jra	nob,eab	mhb,oba	
djb,meb	bfb,cja	wea,hvb	waa,uxb	nvb,wia	
yhb,lvb	lba,tib	dva,pca	lnb,rda	tsa,wea	
jsa,gsb	lya,irb	iab,ltb	yva,uab	ylb,ola	
ykb,hvb	jnb,irb	nbb,yrb	mra,eea	goa,pca	
eza,pca	kga,meb	sva,pca	awb,fya	zfa,meb	
qnb,rib	lxb,awa	mbb,yxa	meb,fya	bnb,owb	
zua,qba	sab,hja	bga,rab	yub,aeb	mpa,kib	
ava,rfa	qta,gxa	mjb,yzb	aeb,xqb	hwa,hxa	
sva,uxb	fba,pca	dka,hvb	qjb,emb	twa,pua	
xwa,hvb	oaa,kua	qqa,cha	zza,iwb	mjb,pdb	
zea,nkb	sha,zdb	yrb,qpb	plb,rlb	usa,hvb	
okb,zza	ncb,vob	bga,lma	bhb,ffa	fib,wfb	
ava,rda	czb,jna	iva,eea	daa,ora	twb,tla	
hxa,rda	hha,hvb	nvb,cwa	mpa,gta	rab,gxa	
zdb,idb	yub,hxa	dkb,eea	zua,ebb	dxa,mca	
zdb,fob	ora,rda	zaa,wqb	hta,dqb	lma,xba	
bua,hvb	byb,oyb	qra,oja	dza,uab	cwa,hoa	
zfa,vqa	lpa,meb	zaa,pcb	usa,fka	efb,gda	
xub,meb	nob,hvb	oeb,hvb	hta,meb	qpb,cwa	
ffa,meb	fmb,hvb	rzb,vjb	hta,sab	fmb,oga	
zfa,uab	iga,rea	bga,qyb	unb,rfa	elb,vjb	
wjb,gda	ssb,atb	uca,hvb	dab,vjb	sfa,oyb	
uwb,gxa	lba,usa	jla,oaa	bkb,vya	cja,mvb	
vpa,rwb	qga,dha	wgb,pca	rmb,tab	dab,hvb	
jnb,hvb	oza,oyb	ova,gma	dpa,hkb	yxb,xya	
seb,vzb	ztb,hvb	eza,zva	efb,woa	pla,hvb	
ykb,afb	ueb,fea	uba,hvb	nqb,sgb	nvb,etb	
chb,qvb	oza,zyb	yaa,rwb	tea,wia	mya,rfa	
hlb,uab	wbb,tob	dua,erb	jza,vma	cyb,zka	
gob,meb	yub,lvb	gub,uab	nbb,sya	ubb,wfb	
oqb,akb	cya,fya	cja,qmb	hkb,pca	zla,hpa	
qsb,meb	jgb,hvb	djb,gda	izb,hvb	cwa,bwb	
meb,gda	chb,ipa	swa,hvb	yub,gxa	aja,meb	
emb,hvb	usa,vxa	xya,pca	tlb,ytb	ysb,iba	
jia,eea	fka,fya	uga,meb	yob,meb	uga,rea	
ova,uwb	ila,oyb	yra,eea	sab,xqb	eva,cwa	
oma,hvb	emb,vob	ykb,xfb	hua,dxa	bga,dua	
jsb,hvb	xmb,yxa	vib,pca	jkb,wgb	ztb,uab	
wma,pca	ova,gyb	una,woa	tsa,cwa	bxa,kua	
gwa,cmb	hua,gyb	hta,ita	seb,hvb	zeb,uab	
oza,jya	wia,rkb	yma,kga	cja,fdb	vma,zza	
dpa,vtb	tvb,fdb	wob,sjb	kib,qpb	cja,eub	
jua,iha	ewa,fia	ucb,vva	jqb,beb	yub,rab	
kwb,dvb	vob,vzb	djb,hvb	eib,vib	oza,jma	
qhb,ywb	igb,uab	lba,ebb	dha,xsa	nwa,meb	
zla,vzb	kza,zdb	zdb,mcb	vsb,fia	syb,uab	
nsb,kma	mjb,vzb	fva,rwb	lpa,oyb	bga,fya	
rlb,plb	irb,fya	fia,zdb	npb,ooa	uba,uab	
qja,meb	oeb,meb	xoa,zaa	jfa,sxb	cyb,hvb	
nvb,vob	erb,hvb	ftb,eea	nra,hvb	wma,vjb	
pxb,qeb	qrb,uta	swa,meb	itb,fya	tsa,vob	
smb,zza	cja,vwb	ota,vob	xfb,fea	mca,zjb	
ywb,oyb	iia,cfa	hxb,hvb	oga,rfa	elb,usa	
yvb,dvb	oia,woa	kob,vib	hsb,hvb	uya,pca	
dqb,vya	lob,meb	mba,rda	dba,pca	cfa,mfa	
cqb,vya	yhb,hvb	bha,meb	tda,meb	qga,yxa	
tnb,vzb	esb,fia	bsa,hvb	wyb,ooa	zcb,hvb	
ikb,hvb	oqb,byb	peb,gda	ucb,aua	cvb,hfa	
oqb,umb	sab,sua	tgb,meb	qza,uta	ota,rda	
oia,vzb	aya,rwb	cbb,xnb	qdb,kua	wgb,kkb	
ora,woa	gyb,ooa	oua,awb	dib,eea	hwa,vdb	
mnb,hvb	zeb,meb	nqb,fha	ota,yub	yub,dxa	
ilb,hxa	mjb,bnb	itb,cja	ysb,vob	tfa,wfb	
wgb,jkb	isa,uab	hoa,wta	meb,fia	cyb,rea	
hlb,rwb	tcb,tbb	dab,lrb	pla,pdb	pla,uqb	
jpa,vjb	qhb,aga	oda,hvb	bkb,sua	idb,ffa	
cyb,vba	xib,nga	gub,meb	fza,wgb	jsb,meb	
unb,woa	awa,xob	oga,uab	bob,uha	kca,pca	
opa,gza	bua,zpa	bga,vob	oza,hvb	nvb,oia	
qza,eab	elb,jra	oda,zdb	bga,wsb	saa,rab	
vxa,cmb	yma,ora	hfa,hxa	wob,zea	wia,rda	
bab,wfb	jfa,nva	koa,uab	umb,hvb	zka,jna	
jra,meb	gca,cvb	dpb,rda	qpb,rda	peb,fya	
zhb,evb	wcb,yub	awb,uab	bga,gma	xya,meb	
dpa,dxa	zoa,urb	jla,wfb	mhb,rwb	ncb,uta	
ola,kza	pea,aca	zdb,fjb	mjb,meb	baa,uab	
tva,uab	urb,uab	pqb,kua	qjb,djb	waa,pca	
vtb,ipb	xfb,yxa	awa,fya	xfb,hvb	meb,ihb	
cwa,hxa	qvb,fxa	kga,hoa	tca,wrb	zea,meb	
kqa,yxa	ora,wla	lrb,vzb	ijb,cwa	eib,kua	
nqa,meb	bga,gxa	fwb,oza	awb,meb	oza,kfb	
kma,rwb	ora,vjb	opa,gda	yma,hvb	dxa,ooa	
hta,mra	jqa,pca	pla,faa	iga,meb	tsa,vzb	
nbb,eea	uja,cwa	yqa,uab	lna,rea	sha,pja	
mga,uab	bsa,uab	wrb,meb	sxb,vjb	unb,pab	
gma,hua	pqb,cvb	uaa,hvb	lgb,fya	dxb,nfa	
xab,oyb	saa,wsb	nda,irb	oia,aua	sdb,hvb	
xca,eqb	pka,hvb	tib,cmb	bhb,zdb	eja,dka	
uab,vib	loa,vjb	jqa,ywb	yub,qyb	elb,rea	
oyb,kdb	kib,sxb	vba,yab	oza,bxb	vtb,vzb	
qrb,qza	vsb,ykb	yob,rda	wgb,vob	xfb,fya	
isa,bsa	elb,pca	zdb,tub	qdb,vzb	qjb,znb	
oka,fya	tsa,fya	elb,woa	efb,hvb	bxa,uxb	
mbb,ylb	umb,ora	jqb,vjb	lia,aga	goa,yob	
meb,bua	hja,hbb	ztb,yrb	meb,hoa	hxa,ibb	
bnb,bcb	dpa,vzb	gca,vzb	eja,ykb	zdb,ffa	
akb,kga	bsa,hxa	qna,npa	wqb,zaa	ywb,meb	
qpa,pca	zra,poa	zdb,qja	xka,cwa	qha,aga	
pla,vjb	yrb,kgb	tob,hlb	jqb,uab	hta,rda	
qjb,rfa	ubb,pzb	qhb,jya	tva,pca	asb,fya	
cyb,hia	usa,uab	pzb,hvb	vdb,meb	yeb,kya	
zka,yub	ssb,hvb	hxa,rfa	mya,hvb	eqb,qra	
uka,hvb	xca,hvb	cfa,wta	bxa,hlb	cja,tvb	
bga,dxa	qsb,uab	cja,hoa	kna,dxb	dpa,jra	
zfa,vob	ncb,vzb	efa,qob	uab,jra	irb,yxa	
fkb,hvb	lpb,uxa	lba,kgb	bga,haa	mob,qlb	
dsa,qjb	eaa,fya	oea,meb	ppa,rwb	cia,meb	
dsa,hvb	cfa,hma	vib,ihb	lba,nma	ahb,fya	
ylb,apa	pnb,hvb	tca,aga	saa,eib	yma,gja	
yma,zza	lba,jvb	idb,meb	qpa,kua	wea,ooa	
mbb,ola	saa,wbb	iia,uaa	lza,jya	kza,ykb	
kja,rfb	eza,hvb	ctb,isa	zla,koa	elb,oia	
mna,meb	elb,qmb	tea,ykb	ola,ykb	nra,meb	
uab,uob	xmb,bua	tib,hoa	yna,pca	nda,kha	
ncb,hvb	rzb,meb	asb,kza	wsb,leb	aia,hvb	
tqb,tqa	pqb,vzb	wrb,uab	smb,beb	rza,pkb	
xwb,uab	elb,ucb	isa,hvb	cja,jra	yvb,swa	
dna,wta	yob,era	dca,vda	xla,meb	lma,hvb	
yaa,hvb	sdb,rda	zjb,rwb	sua,qzb	isa,woa	
saa,leb	jfa,xka	mjb,ejb	nwa,fya	xab,vjb	
sab,ooa	ota,yhb	sra,fya	dka,meb	aga,pca	
elb,zza	wea,hbb	hua,wbb	dpa,vjb	dib,zda	
zsa,fya	mba,cwa	qta,rda	yaa,ffa	okb,fya	
sxa,rna	tib,zza	ojb,meb	qmb,vqa	tla,vma	
wia,hvb	oyb,pdb	tna,hvb	rza,meb	usa,qmb	
iwb,qpb	elb,jya	lgb,meb	yub,ova	irb,meb	
iyb,vba	cja,meb	yrb,fya	cvb,mgb	mna,hta	
pqa,ava	hza,uab	dba,hvb	iea,hvb	wla,vib	
ojb,hvb	qjb,lzb	yxa,fya	meb,jra	jnb,meb	
efa,eea	oea,hvb	wna,hvb	uwa,rwb	awb,vzb	
uba,ryb	qdb,phb	sxb,rea	lpb,kub	cwa,vzb	
uab,ihb	wia,vzb	hkb,uxb	lma,cwa	tsa,zia	
tsa,beb	unb,vdb	dza,pca	ysb,cfa	rla,pca	
ipa,iub	qhb,hvb	lba,kxa	lza,hvb	jia,ita	
ylb,yxa	fib,uab	akb,tib	tsa,vqa	eob,uga	
kja,meb	hcb,hvb	sja,vjb	hvb,vjb	mna,uab	
xaa,hvb	jqb,hvb	ixa,hvb	unb,vzb	qpa,oaa	
qjb,gvb	qna,hvb	dca,vjb	jfa,rea	tsa,kua	
eoa,vjb	ztb,cwa	meb,jgb	qza,swb	eib,fxa	
tsa,jra	oza,vzb	lba,cwa	jua,hvb	bia,eea	
nvb,rda	awb,vjb	esb,meb	zfa,boa	ncb,qza	
fob,meb	jkb,fza	lba,rda	nza,hvb	wbb,meb	
ztb,rea	dpa,rab	uca,eya	bkb,hvb	mjb,uab	
goa,hvb	oyb,ixa	nza,uab	etb,aua	zia,bya	
yza,ora	iib,ojb	hpa,pca	yub,haa	ita,dqb	
cja,hwa	kza,fya	jia,cxa	wjb,vjb	hua,baa	
eub,cwa	noa,ckb	vib,vzb	yia,tkb	kga,ora	
wea,hta	cja,vjb	qjb,meb	eyb,kza	wtb,hvb	
wea,uab	icb,kga	beb,gna	jpa,xfb	gca,jya	
rlb,bcb	hhb,hvb	waa,hvb	qna,vab	qta,hvb	
mbb,apa	ita,jia	cfa,hvb	mna,wea	hnb,meb	
xab,hvb	tib,uca	hta,efa	neb,tnb	qzb,udb	
uga,fya	icb,zza	ncb,jra	nwa,zpa	eib,vgb	
vsb,kza	emb,woa	vib,rea	iha,rwb	lgb,cwa	
erb,iea	daa,kga	vda,rda	mna,hvb	ucb,hxa	
tcb,ela	nbb,cwa	qeb,tua	fia,xsa	daa,wta	
qhb,vob	zjb,hvb	zua,qia	twa,wia	jcb,qjb	
woa,hvb	cja,zza	aeb,hvb	lzb,hvb	ola,hpb	
atb,wea	kxb,bda	jnb,yxa	iyb,yab	lob,cwa	
fia,hvb	fmb,hha	wia,rea	umb,qpb	sxb,rda	
kkb,meb	yxa,kza	qjb,wfb	ita,ata	byb,cwa	
tib,pwa	mjb,rla	wta,wfb	gza,kza	nwa,wza	
daa,zza	ybb,wpa	icb,hvb	saa,lma	tqb,qvb	
mma,yob	voa,hvb	ijb,oyb	kza,xsa	akb,meb	
pja,zdb	zab,gxa	nqa,hvb	xja,wfb	jcb,bpa	
pca,yqb	nvb,xda	tqb,irb	cpb,vjb	jxb,nob	
dcb,vzb	cnb,sga	lrb,jra	ova,aeb	qhb,pca	
dca,wia	era,fga	sya,wta	dha,kza	baa,kua	
icb,meb	oeb,fka	hza,hvb	xmb,meb	uva,pka	
fib,gxa	cnb,uab	ywb,rkb	xla,uab	hza,cwa	
ova,wsb	dpb,wfb	fea,gza	izb,ora	pqb,bga	
bra,tua	saa,qyb	kqa,meb	gta,vjb	yab,pbb	
gob,fya	emb,meb	cwa,aua	pqb,hkb	ywb,hxa	
oaa,hxa	eib,fkb	ceb,meb	hta,npb	ula,jnb	
jza,tla	jcb,wfb	eoa,wxb	lnb,uab	ebb,hvb	
qrb,rma	lba,hvb	sqa,meb	dha,yxa	awb,hta	
lfb,uxb	ula,irb	smb,pwa	uga,woa	hwa,vka	
beb,rfa	yub,wsb	woa,aga	nda,hvb	oya,cyb	
jua,tgb	woa,wta	szb,cja	ita,voa	daa,hoa	
kgb,hvb	dva,uxb	zeb,bsa	btb,ltb	yra,ooa	
dob,cja	eib,zob	usa,fya	gub,fya	cua,hoa	
uqb,pdb	tlb,uab	awb,hvb	hua,iga	tea,hvb	
jub,vka	lba,fya	lpa,fya	kga,pwa	zdb,raa	
oeb,jfa	ova,qyb	nza,vjb	wza,hvb	oza,yna	
ceb,fya	kib,rfa	rab,hua	lfb,pca	iqa,loa	
dpa,meb	pjb,lpb	pqb,jya	lnb,hvb	aob,wtb	
wbb,uab	fia,sha	yqa,rda	tcb,tba	mgb,pca	
wqa,vjb	vsb,yxa	lya,meb	xub,rda	jsb,fya	
fka,qmb	nma,hvb	efb,fya	kca,ega	xaa,meb	
cqb,meb	bxb,oza	fob,zdb	xaa,fya	pnb,fya	
hpa,tsa	sdb,jya	bnb,scb	sxb,uab	dyb,fya	
lrb,pca	era,hvb	yqa,pca	usa,twb	saa,iga	
jub,meb	ola,qga	iib,qna	lya,ula	aja,hvb	
ckb,vzb	sob,jnb	lab,zdb	ova,iga	gub,oyb	
tya,pzb	bda,hvb	mra,ooa	qga,kza	jzb,npa	
atb,bdb	qna,qva	bfb,vob	sya,cwa	saa,iea	
mnb,vjb	chb,gda	yca,hxa	atb,qoa	gta,fya	
ssb,rea	dha,apa	fya,eaa	lrb,hvb	okb,vxa	
wbb,ooa	cyb,meb	oqb,izb	rga,onb	cwa,rda	
oia,meb	hkb,kua	qyb,erb	nob,uta	wgb,wfb	
vib,hkb	zua,qjb	hxb,rfa	uga,sub	cfa,ptb	
zoa,uab	uga,pxa	zpa,lhb	sja,hvb	bhb,meb	
qjb,wta	xab,meb	eib,uab	uga,jya	nbb,jsa	
mjb,unb	ysb,eea	pqb,dva	hcb,sdb	pxb,tua	
zdb,swa	esb,hvb	igb,vjb	fna,rwb	eja,kua	
tqb,gda	lob,sra	dka,vjb	gja,kga	zdb,hvb	
pqb,bxa	vib,fba	jnb,fya	ikb,meb	zcb,cwa	
mna,fya	noa,vzb	cja,nmb	aja,rfa	ijb,jfa	
tea,xda	mrb,vma	nmb,cja	zla,rfa	tea,uab	
qjb,zta	tva,jra	ola,yxa	qta,vzb	xaa,uab	
eyb,ola	ucb,vzb	mjb,xpa	yhb,vob	dpb,zjb	
igb,dba	umb,cwa	wza,lhb	unb,vjb	unb,bbb	
oda,ffa	asb,vjb	ubb,rfa	waa,eta	oza,bga	
cyb,vzb	dca,hvb	zea,rda	xqb,hvb	lba,vxa	
elb,vzb	bkb,xqb	dna,meb	xta,uca	keb,hfa	
vib,uab	isb,rda	meb,yxa	vdb,hwa	wrb,iea	
cja,itb	iva,hja	zdb,xnb	okb,usa	xta,jvb	
xpa,hvb	tkb,kba	jqa,isa	xya,flb	ola,meb	
qga,meb	hpb,meb	znb,wfb	spa,lpb	vob,yub	
hua,hvb	wna,owb	ieb,hvb	zva,tcb	yya,ora	
dcb,meb	czb,pca	gja,hvb	qjb,gub	ita,hvb	
qpb,zza	hba,beb	afb,hvb	hxa,meb	gub,rda	
cmb,gwa	sfa,rda	lba,atb	ola,hvb	yub,dua	
iba,rwb	syb,fya	zfa,pca	dxa,enb	gja,zza	
meb,bsa	bda,pca	qna,xha	fia,mcb	ckb,hvb	
wia,hxa	yia,vzb	pcb,kia	oba,vqa	sja,fya	
dpa,gyb	kxb,jrb	dpa,wsb	pqb,jra	chb,sga	
iyb,pbb	twa,btb	laa,meb	tdb,oeb	yua,bya	
tsa,uab	ucb,meb	wra,hvb	eib,hvb	gob,uab	
gob,hvb	vya,otb	tva,hvb	ykb,vjb	fia,meb	
fjb,hvb	dka,uab	pbb,zha	nza,bnb	djb,jra	
eva,oyb	sha,dvb	yva,rfa	zla,yva	uha,meb	
vsb,hvb	dpa,dva	mrb,uab	zdb,fia	aua,jra	
emb,wfb	nma,kgb	xmb,ebb	mga,rfa	wsb,gxa	
xab,cwa	esb,fya	fib,meb	ikb,vjb	cwa,meb	
bwb,wta	tsa,bya	iib,pca	ota,meb	laa,vob	
rva,pab	kga,uab	uab,wta	hua,aeb	dmb,meb	
rga,zxb	qdb,pqb	eqa,sua	jpa,yxa	nfa,scb	
nma,wia	cja,vzb	uha,hvb	yhb,vzb	gxa,hvb	
una,meb	cwa,vob	xab,rda	wea,oyb	gvb,wfb	
lob,pwa	cnb,smb	smb,usa	lgb,hvb	saa,aeb	
rzb,wxb	usa,aca	pca,hxa	okb,vjb	okb,meb	
esb,ykb	oyb,fxa	atb,fwa	yia,yqa	eja,hvb	
ztb,sya	kja,wra	tea,sfa	iyb,hvb	xja,meb	
pqb,phb	zwb,hvb	eza,vjb	bfb,meb	nbb,jra	
ona,uab	keb,hxa	kxb,owb	uab,xsb	eqa,wfb	
ywb,tab	rzb,hvb	xfb,hnb	twa,qpb	bob,meb	
fza,pca	cvb,oaa	oeb,pwa	vxa,hvb	pla,kdb	
yub,zab	vib,sub	jqb,fya	eib,aya	yla,sxb
CONFIGURATION
vha,x=726,y=274
aka,x=726,y=276
ebb,x=699,y=278
sha,x=672,y=279
xha,x=645,y=280
bkb,x=619,y=280
yca,x=725,y=287
ycb,x=699,y=288
kia,x=672,y=288
akb,x=645,y=288
wdb,x=618,y=287
kib,x=725,y=298
oga,x=698,y=297
udb,x=671,y=297
ffa,x=644,y=295
iab,x=618,y=293
nga,x=723,y=309
jfa,x=697,y=307
gja,x=670,y=305
eab,x=643,y=303
sgb,x=617,y=300
eaa,x=722,y=320
sga,x=695,y=317
bjb,x=668,y=314
aja,x=642,y=311
kja,x=615,y=307
zhb,x=720,y=331
rga,x=693,y=327
wcb,x=667,y=323
zha,x=640,y=318
uca,x=614,y=313
fea,x=717,y=342
feb,x=691,y=337
ucb,x=664,y=331
iba,x=638,y=326
ibb,x=612,y=320
vgb,x=714,y=352
yeb,x=688,y=346
xfb,x=662,y=340
jgb,x=636,y=333
qba,x=610,y=326
sjb,x=710,y=363
sja,x=685,y=356
kga,x=659,y=348
kgb,x=633,y=340
rfa,x=608,y=332
aib,x=706,y=373
zea,x=681,y=365
aia,x=655,y=357
fib,x=630,y=348
wfa,x=605,y=338
fia,x=702,y=384
wfb,x=677,y=374
zeb,x=652,y=365
rfb,x=627,y=355
oib,x=602,y=344
oia,x=697,y=394
neb,x=672,y=383
vfb,x=648,y=373
blb,x=623,y=362
yfa,x=599,y=350
qab,x=692,y=403
khb,x=668,y=392
web,x=644,y=381
mbb,x=620,y=369
mba,x=596,y=356
kha,x=686,y=413
fha,x=663,y=401
rea,x=639,y=388
wea,x=616,y=375
ahb,x=592,y=362
zfa,x=680,y=422
fga,x=657,y=409
ueb,x=634,y=396
oja,x=611,y=382
ojb,x=589,y=367
nfa,x=674,y=432
dbb,x=651,y=417
boa,x=629,y=403
rda,x=607,y=388
bob,x=585,y=373
mca,x=667,y=440
mcb,x=645,y=425
jaa,x=623,y=410
dba,x=602,y=394
keb,x=580,y=378
efa,x=660,y=449
efb,x=639,y=433
zcb,x=618,y=416
aob,x=597,y=400
lcb,x=576,y=383
sdb,x=653,y=457
ncb,x=632,y=440
vdb,x=611,y=423
xla,x=591,y=405
nca,x=571,y=387
ega,x=645,y=465
qdb,x=625,y=447
vda,x=605,y=429
fba,x=586,y=411
pdb,x=566,y=392
iea,x=637,y=473
haa,x=617,y=454
ieb,x=598,y=435
zda,x=580,y=416
wgb,x=561,y=396
bnb,x=628,y=480
wga,x=610,y=460
daa,x=592,y=441
dab,x=574,y=421
kfb,x=556,y=401
qcb,x=620,y=487
eea,x=602,y=467
anb,x=585,y=446
lda,x=568,y=426
zdb,x=551,y=405
xka,x=611,y=493
hba,x=594,y=472
scb,x=577,y=451
vcb,x=561,y=430
nda,x=545,y=408
qca,x=601,y=499
geb,x=585,y=478
pcb,x=570,y=456
pca,x=555,y=434
faa,x=540,y=412
ifb,x=592,y=505
oda,x=577,y=483
rca,x=562,y=461
hbb,x=548,y=438
pbb,x=534,y=415
jcb,x=582,y=511
ddb,x=568,y=488
yaa,x=554,y=465
meb,x=541,y=442
yab,x=528,y=418
sfa,x=572,y=515
zab,x=559,y=492
zaa,x=546,y=469
laa,x=534,y=445
lab,x=522,y=421
kca,x=562,y=520
edb,x=550,y=496
gda,x=538,y=472
vba,x=527,y=448
icb,x=516,y=423
hcb,x=552,y=524
xja,x=540,y=500
uba,x=530,y=475
ubb,x=519,y=450
oeb,x=509,y=426
wjb,x=541,y=528
rbb,x=531,y=503
fdb,x=521,y=478
oea,x=512,y=453
dca,x=503,y=428
dcb,x=530,y=531
bpa,x=521,y=506
pab,x=513,y=480
bpb,x=504,y=455
ybb,x=497,y=429
mfa,x=520,y=534
mfb,x=512,y=508
lba,x=504,y=482
sea,x=497,y=457
xib,x=490,y=431
xia,x=509,y=536
eca,x=502,y=510
kdb,x=495,y=484
qeb,x=489,y=458
gca,x=483,y=432
vab,x=498,y=538
nbb,x=492,y=512
seb,x=486,y=485
uab,x=481,y=459
rab,x=477,y=433
idb,x=487,y=539
raa,x=482,y=513
wia,x=478,y=486
uaa,x=474,y=460
iib,x=470,y=433
zob,x=476,y=540
zoa,x=472,y=514
iia,x=469,y=487
phb,x=466,y=460
jnb,x=464,y=434
qha,x=465,y=541
qhb,x=462,y=514
lvb,x=460,y=487
jna,x=458,y=461
bbb,x=457,y=434
cub,x=453,y=541
cua,x=452,y=514
ykb,x=451,y=487
aca,x=450,y=460
dyb,x=450,y=434
spa,x=442,y=540
ijb,x=442,y=513
zpb,x=442,y=487
lwa,x=443,y=460
zpa,x=444,y=433
kwb,x=431,y=539
qga,x=432,y=513
baa,x=433,y=486
ctb,x=435,y=459
tzb,x=437,y=432
bab,x=420,y=538
ylb,x=422,y=511
gaa,x=424,y=485
yla,x=427,y=458
hfa,x=430,y=431
rob,x=409,y=536
vzb,x=412,y=510
soa,x=416,y=483
dxa,x=419,y=456
ika,x=424,y=430
dxb,x=398,y=534
sob,x=402,y=507
lxb,x=407,y=481
oaa,x=412,y=455
kpa,x=417,y=428
kta,x=388,y=531
igb,x=393,y=505
lxa,x=398,y=479
zma,x=404,y=453
iga,x=411,y=427
hga,x=377,y=528
bdb,x=383,y=502
jpa,x=390,y=476
hgb,x=397,y=450
yma,x=405,y=425
qja,x=366,y=524
qjb,x=374,y=499
cwa,x=382,y=473
rna,x=390,y=447
beb,x=398,y=422
dwb,x=356,y=520
sra,x=364,y=495
oab,x=373,y=470
kub,x=383,y=444
lya,x=392,y=420
oba,x=346,y=516
pea,x=355,y=491
dvb,x=365,y=466
peb,x=375,y=441
iha,x=386,y=417
znb,x=336,y=511
ihb,x=346,y=486
kqa,x=357,y=462
hha,x=369,y=438
yna,x=380,y=413
hhb,x=326,y=506
jqa,x=338,y=481
jqb,x=350,y=457
bcb,x=362,y=434
qia,x=374,y=410
kua,x=317,y=500
bda,x=329,y=476
cvb,x=342,y=453
rmb,x=355,y=430
rma,x=369,y=406
sqb,x=307,y=494
dva,x=321,y=471
sqa,x=335,y=448
eyb,x=349,y=425
plb,x=363,y=403
pla,x=298,y=487
eya,x=313,y=465
twa,x=327,y=442
kzb,x=343,y=420
kza,x=358,y=399
twb,x=290,y=481
hib,x=305,y=459
hia,x=321,y=437
lza,x=337,y=415
qlb,x=353,y=394
qla,x=281,y=473
kna,x=297,y=452
lzb,x=314,y=431
aga,x=331,y=410
rlb,x=348,y=390
zka,x=273,y=466
nza,x=290,y=445
bga,x=307,y=425
rla,x=325,y=405
hja,x=343,y=385
bgb,x=265,y=458
cyb,x=283,y=438
xda,x=301,y=418
tvb,x=320,y=399
mzb,x=339,y=380
jia,x=258,y=450
jib,x=276,y=431
cya,x=295,y=412
qkb,x=315,y=393
pkb,x=334,y=375
pka,x=250,y=441
tva,x=270,y=423
zla,x=290,y=405
koa,x=310,y=387
kob,x=330,y=370
zlb,x=244,y=432
rkb,x=264,y=415
afa,x=284,y=398
afb,x=305,y=381
cxa,x=326,y=364
tub,x=237,y=423
bfb,x=258,y=407
ska,x=279,y=390
tua,x=301,y=374
hka,x=323,y=359
yhb,x=231,y=414
bfa,x=253,y=398
xca,x=275,y=383
hkb,x=297,y=368
tya,x=319,y=353
jla,x=225,y=404
pja,x=248,y=390
kxb,x=270,y=375
kxa,x=293,y=361
qnb,x=316,y=347
qna,x=220,y=395
pjb,x=243,y=381
uya,x=266,y=367
ikb,x=290,y=354
wbb,x=313,y=341
rjb,x=215,y=385
zib,x=239,y=372
ila,x=263,y=359
zia,x=286,y=347
ilb,x=310,y=335
aeb,x=211,y=374
kkb,x=235,y=362
kka,x=259,y=351
bia,x=284,y=340
